"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Totaal aangekomen passagiers";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Totaal vertrokken passagiers"
"Luchthavens";"Perioden";"aantal";"aantal";"aantal"
"Amsterdam Airport Schiphol";"2019";"71679729";"35726485";"35953244"
"Amsterdam Airport Schiphol";"2020 januari*";"5074773";"2561003";"2513770"
"Amsterdam Airport Schiphol";"2020 februari*";"4719769";"2342660";"2377109"
"Amsterdam Airport Schiphol";"2020 maart*";"2476372";"1298133";"1178239"
"Amsterdam Airport Schiphol";"2020 april*";"126015";"70038";"55977"
"Amsterdam Airport Schiphol";"2020 mei*";"207827";"109314";"98513"
"Amsterdam Airport Schiphol";"2020 juni*";"471410";"229128";"242282"
"Amsterdam Airport Schiphol";"2020 juli*";"1338857";"608849";"730008"
"Amsterdam Airport Schiphol";"2020 augustus*";"1854786";"983983";"870803"
"Amsterdam Airport Schiphol";"2020 september*";"1337741";"684061";"653680"
"Amsterdam Airport Schiphol";"2020 oktober*";"1143483";"576128";"567355"
"Amsterdam Airport Schiphol";"2020 november*";"900434";"451046";"449388"
"Amsterdam Airport Schiphol";"2020 december*";"1233043";"580297";"652746"
"Amsterdam Airport Schiphol";"2020*";"20884510";"10494640";"10389870"
"Amsterdam Airport Schiphol";"2021 januari*";"869129";"463793";"405336"
"Amsterdam Airport Schiphol";"2021 februari*";"505194";"253143";"252051"
"Amsterdam Airport Schiphol";"2021 maart*";"660176";"331608";"328568"
"Amsterdam Airport Schiphol";"2021 april*";"786652";"386810";"399842"
"Amsterdam Airport Schiphol";"2021 mei*";"1106740";"552079";"554661"
"Amsterdam Airport Schiphol";"2021 juni*";"1678265";"816099";"862166"
"Amsterdam Airport Schiphol";"2021 juli*";"3029951";"1378580";"1651371"
"Amsterdam Airport Schiphol";"2021 augustus*";"3786973";"2002462";"1784511"
"Amsterdam Airport Schiphol";"2021 september*";"3370205";"1718856";"1651349"
"Amsterdam Airport Schiphol";"2021 oktober*";"3745991";"1907661";"1838330"
"Amsterdam Airport Schiphol";"2021 november*";"3095823";"1551581";"1544242"
"Bron: CBS"
